id_product,model,descripcion ,suppliers,blands,2024-09-24 00:00:00,2024-09-25 00:00:00,2024-09-26 00:00:00,2024-09-27 00:00:00,2024-09-28 00:00:00,2024-09-29 00:00:00,2024-09-30 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-03 00:00:00,2024-10-04 00:00:00,2024-10-05 00:00:00,2024-10-06 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-10-09 00:00:00,2024-10-10 00:00:00,2024-10-11 00:00:00,2024-10-12 00:00:00,2024-10-13 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,2024-10-16 00:00:00,2024-10-17 00:00:00,2024-10-18 00:00:00,2024-10-19 00:00:00,2024-10-20 00:00:00,2024-10-21 00:00:00,2024-10-22 00:00:00,2024-10-23 00:00:00,2024-10-24 00:00:00,2024-10-25 00:00:00,2024-10-26 00:00:00,2024-10-27 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,2024-10-30 00:00:00,2024-10-31 00:00:00,2024-11-01 00:00:00,2024-11-02 00:00:00
ID-00000001,BSX17,JUEGO DE TUBOS BAHCO 17P CON CRIQUE,ITURRIA S.A,BAHCO,14,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,13.0,13.0,13.0,13.0,12.0,10.0,11.0,11.0,10.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,,
ID-00000002,TM12,"TUBO ESTRIADO LARGO DE 1/2"" 12MM",ITURRIA S.A,BAHCO,15,17.0,17.0,17.0,17.0,17.0,15.0,14.0,16.0,16.0,14.0,14.0,14.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,21.0,21.0,20.0,18.0,,
ID-00000003,TM13,"TUBO ESTRIADO LARGO DE 1/2"" 13MM",ITURRIA S.A,BAHCO,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,
ID-00000004,TM14,"TUBO ESTRIADO LARGO DE 1/2"" 14 MM",ITURRIA S.A,BAHCO,14,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,-1.0,,
ID-00000005,TM15,"TUBO ESTRIADO LARGO DE 1/2"" 15 MM",ITURRIA S.A,BAHCO,14,15.0,15.0,15.0,14.0,14.0,14.0,14.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,,
ID-00000006,TM16,"TUBO ESTRIADO LARGO DE 1/2"" 16 MM",ITURRIA S.A,BAHCO,17,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0,18.0,16.0,17.0,17.0,18.0,18.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,,
ID-00000007,TM17,"TUBO ESTRIADO LARGO DE 1/2"" 17 MM",ITURRIA S.A,BAHCO,13,13.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,,
ID-00000008,TM18,"TUBO ESTRIADO LARGO DE 1/2"" 18 MM",ITURRIA S.A,BAHCO,13,15.0,15.0,15.0,13.0,11.0,10.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,12.0,12.0,14.0,14.0,13.0,13.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,,
ID-00000009,TM19,"TUBO ESTRIADO LARGO DE 1/2"" 19 MM",ITURRIA S.A,BAHCO,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,,
ID-00000010,250100000,MOTOR A EXPLOSION DE 6.5HP ZONGSHEN,FIASA S.A.I.C Y F.,ZONGSHEN,17,17.0,17.0,17.0,17.0,17.0,17.0,15.0,13.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
